Country,REF_AREA,Indicator,Time period, Child Mortality Rate,UNIT_MEASURE:Unit of measure
Afghanistan,AFG, Child mortality rate (aged 1-4 years),2000,42.63849416,D_PER_1000_1: Deaths per 1000 children aged 1
Afghanistan,AFG, Child mortality rate (aged 1-4 years),2005,33.7596179,D_PER_1000_1: Deaths per 1000 children aged 1
Afghanistan,AFG, Child mortality rate (aged 1-4 years),2010,25.19777652,D_PER_1000_1: Deaths per 1000 children aged 1
Afghanistan,AFG, Child mortality rate (aged 1-4 years),2015,18.13671416,D_PER_1000_1: Deaths per 1000 children aged 1
Afghanistan,AFG, Child mortality rate (aged 1-4 years),2017,15.99308541,D_PER_1000_1: Deaths per 1000 children aged 1
Afghanistan,AFG, Child mortality rate (aged 1-4 years),2019,14.30360142,D_PER_1000_1: Deaths per 1000 children aged 1
Angola,AGO, Child mortality rate (aged 1-4 years),2000,94.80024065,D_PER_1000_1: Deaths per 1000 children aged 1
Angola,AGO, Child mortality rate (aged 1-4 years),2005,72.56342851,D_PER_1000_1: Deaths per 1000 children aged 1
Angola,AGO, Child mortality rate (aged 1-4 years),2010,47.89422403,D_PER_1000_1: Deaths per 1000 children aged 1
Angola,AGO, Child mortality rate (aged 1-4 years),2015,32.31536641,D_PER_1000_1: Deaths per 1000 children aged 1
Angola,AGO, Child mortality rate (aged 1-4 years),2017,28.83775834,D_PER_1000_1: Deaths per 1000 children aged 1
Angola,AGO, Child mortality rate (aged 1-4 years),2019,25.96488611,D_PER_1000_1: Deaths per 1000 children aged 1
Albania,ALB, Child mortality rate (aged 1-4 years),2000,3.178756603,D_PER_1000_1: Deaths per 1000 children aged 1
Albania,ALB, Child mortality rate (aged 1-4 years),2005,2.178212745,D_PER_1000_1: Deaths per 1000 children aged 1
Albania,ALB, Child mortality rate (aged 1-4 years),2010,1.440212414,D_PER_1000_1: Deaths per 1000 children aged 1
Albania,ALB, Child mortality rate (aged 1-4 years),2015,1.066127169,D_PER_1000_1: Deaths per 1000 children aged 1
Albania,ALB, Child mortality rate (aged 1-4 years),2017,1.04034938,D_PER_1000_1: Deaths per 1000 children aged 1
Albania,ALB, Child mortality rate (aged 1-4 years),2019,1.045858793,D_PER_1000_1: Deaths per 1000 children aged 1
United Arab Emirates,ARE, Child mortality rate (aged 1-4 years),2000,1.584328444,D_PER_1000_1: Deaths per 1000 children aged 1
United Arab Emirates,ARE, Child mortality rate (aged 1-4 years),2005,1.415468415,D_PER_1000_1: Deaths per 1000 children aged 1
United Arab Emirates,ARE, Child mortality rate (aged 1-4 years),2010,1.254503469,D_PER_1000_1: Deaths per 1000 children aged 1
United Arab Emirates,ARE, Child mortality rate (aged 1-4 years),2015,1.107422981,D_PER_1000_1: Deaths per 1000 children aged 1
United Arab Emirates,ARE, Child mortality rate (aged 1-4 years),2017,1.051158342,D_PER_1000_1: Deaths per 1000 children aged 1
United Arab Emirates,ARE, Child mortality rate (aged 1-4 years),2019,0.989636259,D_PER_1000_1: Deaths per 1000 children aged 1
Argentina,ARG, Child mortality rate (aged 1-4 years),2000,2.137810436,D_PER_1000_1: Deaths per 1000 children aged 1
Argentina,ARG, Child mortality rate (aged 1-4 years),2005,1.789289389,D_PER_1000_1: Deaths per 1000 children aged 1
Argentina,ARG, Child mortality rate (aged 1-4 years),2010,1.562906352,D_PER_1000_1: Deaths per 1000 children aged 1
Argentina,ARG, Child mortality rate (aged 1-4 years),2015,1.274430735,D_PER_1000_1: Deaths per 1000 children aged 1
Argentina,ARG, Child mortality rate (aged 1-4 years),2017,1.137968888,D_PER_1000_1: Deaths per 1000 children aged 1
Argentina,ARG, Child mortality rate (aged 1-4 years),2019,0.959237243,D_PER_1000_1: Deaths per 1000 children aged 1
Armenia,ARM, Child mortality rate (aged 1-4 years),2000,3.751327151,D_PER_1000_1: Deaths per 1000 children aged 1
Armenia,ARM, Child mortality rate (aged 1-4 years),2005,2.69897644,D_PER_1000_1: Deaths per 1000 children aged 1
Armenia,ARM, Child mortality rate (aged 1-4 years),2010,2.008734434,D_PER_1000_1: Deaths per 1000 children aged 1
Armenia,ARM, Child mortality rate (aged 1-4 years),2015,1.55569839,D_PER_1000_1: Deaths per 1000 children aged 1
