Country,REF_AREA,Indicator,Time period,Maternal Mortality Rate
Afghanistan,AFG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,1346.144101
Afghanistan,AFG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,1102.809756
Afghanistan,AFG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,898.6692492
Afghanistan,AFG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,775.6927403
Afghanistan,AFG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,681.8075592
Afghanistan,AFG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,644.2725467
Angola,AGO," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,859.9209108
Angola,AGO," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,549.8389617
Angola,AGO," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,367.2648485
Angola,AGO," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,273.5965019
Angola,AGO," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,252.8048541
Angola,AGO," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,227.6869649
Albania,ALB," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,14.32641442
Albania,ALB," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,10.83049884
Albania,ALB," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,8.516676263
Albania,ALB," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,6.878284801
Albania,ALB," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,6.689697872
Albania,ALB," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,5.30502305
United Arab Emirates,ARE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,21.75752435
United Arab Emirates,ARE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,13.37993896
United Arab Emirates,ARE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,9.160352066
United Arab Emirates,ARE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,9.385997914
United Arab Emirates,ARE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,8.591663481
United Arab Emirates,ARE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,9.432062806
Argentina,ARG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,71.50375087
Argentina,ARG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,62.69841906
Argentina,ARG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,55.10321713
Argentina,ARG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,39.33507173
Argentina,ARG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,38.24380532
Argentina,ARG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,32.60260512
Armenia,ARM," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,50.16581354
Armenia,ARM," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,37.78067583
Armenia,ARM," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,33.21770168
Armenia,ARM," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,25.10202873
Armenia,ARM," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,25.00066974
Armenia,ARM," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,24.93800427
Antigua and Barbuda,ATG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,51.2984723
Antigua and Barbuda,ATG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,34.02186716
Antigua and Barbuda,ATG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,30.78418848
Antigua and Barbuda,ATG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,27.16638094
Antigua and Barbuda,ATG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,21.1225203
Antigua and Barbuda,ATG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,18.91320322
Australia,AUS," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,6.693826866
Australia,AUS," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,4.595686978
Australia,AUS," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,5.45191211
Australia,AUS," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,5.244025298
Australia,AUS," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,4.771442981
Australia,AUS," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,5.085506667
Austria,AUT," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,6.36030585
Austria,AUT," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,5.850587048
